mean_fit_time;param_max_depth;param_min_samples_split;param_min_samples_leaf;param_criterion;mean_test_score
8.46275122166;1;2;1;gini;0.144736842105
15.6444347382;2;2;1;gini;0.15350877193
23.2432742834;3;2;1;gini;0.164473684211
31.1927494526;4;2;1;gini;0.169956140351
39.0329230309;5;2;1;gini;0.186403508772
46.7821319818;6;2;1;gini;0.198464912281
52.6721944809;7;2;1;gini;0.190789473684
58.906635952;8;2;1;gini;0.18201754386
62.2679239273;9;2;1;gini;0.175438596491
63.5930721521;10;2;1;gini;0.18201754386
